epoch,loss,lr,val_loss
0,0.6576407551765442,0.001,1.291664719581604
1,0.6547823548316956,0.001,0.9637185335159302
2,0.6543471813201904,0.001,0.7304902076721191
3,0.6541552543640137,0.001,0.6962358355522156
4,0.6540639400482178,0.001,0.6827758550643921
5,0.6539791822433472,0.001,0.6747678518295288
6,0.6539521217346191,0.001,0.6712875962257385
7,0.6539114117622375,0.001,0.6690925359725952
8,0.6538653373718262,0.001,0.6725931167602539
9,0.6538699865341187,0.001,0.6650601625442505
10,0.6538534760475159,0.001,0.6906718611717224
11,0.6538529992103577,0.001,0.6639775037765503
12,0.6538293361663818,0.001,0.6780011057853699
13,0.6538278460502625,0.001,0.6898797750473022
14,0.6538206338882446,0.001,0.6611874103546143
15,0.6538442969322205,0.001,0.6612624526023865
16,0.6538031697273254,0.001,0.6611475348472595
17,0.6537690758705139,0.001,0.6615235805511475
18,0.6537585258483887,0.001,0.6606907248497009
19,0.6537501811981201,0.001,0.6622610688209534
20,0.653922975063324,0.001,0.6613414883613586
21,0.6537820100784302,0.001,0.6630024909973145
22,0.6537324786186218,0.001,0.6608989238739014
23,0.6537392735481262,0.001,0.662318229675293
24,0.6536709070205688,0.000100000005,0.6596812605857849
25,0.6536532640457153,0.000100000005,0.6594661474227905
26,0.6536450982093811,0.000100000005,0.6593559980392456
27,0.6536405682563782,0.000100000005,0.65932297706604
28,0.6536394357681274,0.000100000005,0.659351646900177
29,0.6536386013031006,0.000100000005,0.6593068242073059
